School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Peabody Veterans Memorial High,Public School,1540,83.0,296.0,19.2,642.0,41.7,422.0,27.4,4.0,2.1,15.7,76.2,0.0,0.0,1.9,50.8,49.2,15.7,87.6,0.2,0.9,4.6,436.0,331.0,75.9,0.3,30.5,24.2,45.0,24.2,22.7,14.2,370,619,206.0,99.0,46.0,18.0,1.0,105.0,152.0,163.0,144.0,55.0,41.5,58.5,283.0,497.0,476.0,508.0
Pembroke High School,Public School,973,3.0,100.0,10.3,186.0,19.1,104.0,10.7,0.9,0.8,0.4,97.0,0.0,0.4,0.4,50.2,49.8,18.3,96.2,0.0,0.0,3.8,246.0,187.0,76.0,0.0,40.6,11.8,47.6,10.7,17.6,18.7,199,401,73.0,64.0,51.0,8.0,3.0,57.0,89.0,130.0,92.0,33.0,36.4,63.6,193.0,505.0,500.0,522.0
Pentucket Regional Sr High,Public School,734,1.0,83.0,11.3,133.0,18.1,64.0,8.7,0.3,1.2,2.3,95.5,0.0,0.0,0.7,47.5,52.5,13.9,91.9,0.0,2.7,3.2,195.0,163.0,83.6,0.0,33.1,32.5,34.4,32.5,6.7,9.2,167,302,66.0,72.0,25.0,3.0,1.0,30.0,64.0,90.0,71.0,47.0,31.1,68.9,143.0,524.0,528.0,532.0
Pioneer Charter School of Science,Charter School,543,380.0,44.0,8.1,356.0,65.6,207.0,38.1,29.7,10.3,29.1,29.3,0.9,0.2,0.6,51.2,48.8,18.2,96.4,0.0,0.0,1.8,54.0,49.0,90.7,0.0,28.6,22.4,49.0,22.4,12.2,36.7,65,103,37.0,18.0,10.0,0.0,0.0,18.0,28.0,25.0,21.0,11.0,44.7,55.3,56.0,484.0,467.0,555.0
Pioneer Valley Regional,Public School,409,2.0,52.0,12.7,107.0,26.2,68.0,16.6,2.0,1.0,1.7,92.9,0.2,0.0,2.2,48.7,51.3,13.0,96.8,0.0,0.0,3.2,79.0,55.0,69.6,0.0,27.3,40.0,32.7,36.4,5.5,9.1,36,51,22.0,13.0,1.0,0.0,0.0,7.0,20.0,11.0,13.0,0.0,52.9,47.1,45.0,520.0,504.0,500.0
Pioneer Valley Performing Arts Charter Public School,Charter School,398,0.0,74.0,18.6,140.0,35.2,85.0,21.4,8.3,2.0,13.6,68.8,0.3,0.0,7.0,32.2,67.3,12.0,92.6,0.0,2.9,0.0,55.0,48.0,87.3,0.0,45.8,25.0,29.2,25.0,8.3,10.4,10,10,10.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,30.0,70.0,53.0,569.0,544.0,517.0
Pittsfield High,Public School,861,89.0,221.0,25.7,436.0,50.6,331.0,38.4,10.8,2.1,11.5,70.8,0.1,0.0,4.6,51.5,48.5,13.8,78.1,1.7,1.7,10.7,204.0,143.0,70.1,1.4,28.7,42.7,27.3,42.0,12.6,9.1,198,393,91.0,37.0,53.0,16.0,1.0,79.0,115.0,88.0,64.0,47.0,49.4,50.6,119.0,508.0,484.0,497.0
Taconic High,Public School,706,36.0,124.0,17.6,346.0,49.0,287.0,40.7,12.9,1.4,6.9,71.8,0.3,0.0,6.7,51.6,48.4,11.8,88.2,0.0,1.1,7.5,191.0,139.0,72.8,3.6,23.0,57.6,15.8,57.6,8.6,5.0,164,264,88.0,55.0,18.0,3.0,0.0,63.0,84.0,74.0,35.0,8.0,55.7,44.3,90.0,499.0,474.0,500.0
Plymouth North High,Public School,1307,56.0,218.0,16.7,455.0,34.8,309.0,23.6,2.8,1.5,5.7,86.7,0.2,0.1,3.1,51.1,48.9,16.2,87.3,2.4,1.8,4.2,251.0,187.0,74.5,0.0,40.6,20.9,38.5,19.8,13.9,12.8,231,416,114.0,65.0,37.0,14.0,1.0,65.0,99.0,115.0,76.0,61.0,39.4,60.6,324.0,474.0,467.0,492.0
Plymouth South High,Public School,1026,5.0,213.0,20.8,323.0,31.5,169.0,16.5,1.7,0.9,2.8,90.3,0.8,0.3,3.3,53.3,46.7,13.4,93.6,1.2,0.0,2.0,296.0,186.0,62.8,0.5,28.0,26.9,44.6,25.8,16.7,17.7,204,447,64.0,63.0,55.0,18.0,4.0,73.0,136.0,128.0,69.0,41.0,46.8,53.2,225.0,472.0,450.0,491.0
Prospect Hill Academy Charter School,Charter School,1135,509.0,168.0,14.8,608.0,53.6,430.0,37.9,55.0,8.5,20.8,12.3,0.4,0.2,2.8,50.6,49.4,21.2,92.3,0.0,0.0,0.0,70.0,64.0,91.4,0.0,53.1,12.5,34.4,12.5,17.2,15.6,121,204,73.0,26.0,14.0,4.0,4.0,92.0,46.0,38.0,19.0,9.0,67.6,32.4,83.0,455.0,437.0,467.0
Quabbin Regional High School,Public School,676,13.0,101.0,14.9,200.0,29.6,133.0,19.7,0.6,0.9,4.7,90.7,0.0,0.0,3.1,49.3,50.7,17.1,86.9,0.0,2.3,6.9,173.0,133.0,76.9,0.0,26.3,33.8,39.8,33.1,15.8,6.8,96,149,58.0,29.0,4.0,4.0,1.0,45.0,46.0,35.0,15.0,8.0,61.1,38.9,121.0,512.0,476.0,521.0
Quaboag Regional High,Public School,365,22.0,46.0,12.6,153.0,41.9,128.0,35.1,0.5,0.5,7.1,89.0,0.0,0.0,2.7,49.6,50.4,14.7,89.2,0.0,2.2,0.0,77.0,49.0,63.6,0.0,36.7,24.5,38.8,24.5,18.4,16.3,85,134,46.0,32.0,5.0,1.0,1.0,8.0,41.0,50.0,29.0,6.0,36.6,63.4,44.0,520.0,485.0,503.0
North Quincy High,Public School,1168,541.0,147.0,12.6,551.0,47.2,387.0,33.1,2.4,58.4,2.9,35.2,0.2,0.0,0.9,50.5,49.4,16.4,93.5,0.3,0.3,1.3,302.0,240.0,79.5,0.0,39.6,16.7,43.8,15.4,9.6,29.6,169,331,82.0,48.0,21.0,8.0,10.0,12.0,59.0,89.0,93.0,78.0,21.5,78.5,267.0,461.0,453.0,518.0
Quincy High,Public School,1503,366.0,290.0,19.3,760.0,50.6,522.0,34.7,10.4,20.6,7.1,58.4,0.1,0.3,2.9,53.6,46.3,15.7,89.7,0.3,1.3,6.0,383.0,270.0,70.5,0.0,33.0,20.0,47.0,18.9,15.2,25.9,174,401,70.0,41.0,31.0,13.0,19.0,34.0,97.0,119.0,96.0,55.0,32.7,67.3,253.0,486.0,471.0,502.0
